Word,Frequency,Frequency (%)
и,8474,4.86226%
не,3779,2.16834%
в,3763,2.15916%
что,3471,1.99161%
он,2858,1.63988%
с,2565,1.47176%
на,2427,1.39258%
я,2413,1.38455%
то,2166,1.24282%
а,1811,1.03913%
как,1807,1.03683%
это,1400,0.80330%
все,1302,0.74707%
так,1199,0.68797%
его,1190,0.68281%
но,1155,0.66272%
же,1141,0.65469%
да,1087,0.62371%
вы,982,0.56346%
к,922,0.52903%
она,903,0.51813%
бы,865,0.49632%
было,786,0.45100%
по,779,0.44698%
еще,702,0.40280%
у,699,0.40108%
даже,680,0.39017%
за,676,0.38788%
ее,626,0.35919%
только,619,0.35517%
ты,605,0.34714%
вот,600,0.34427%
теперь,587,0.33681%
ну,571,0.32763%
раскольников,567,0.32534%
вдруг,566,0.32476%
меня,529,0.30353%
уже,524,0.30066%
от,522,0.29952%
ему,514,0.29493%
из,508,0.29148%
ведь,508,0.29148%
мне,489,0.28058%
уж,479,0.27484%
о,474,0.27197%
быть,460,0.26394%
был,438,0.25132%
до,428,0.24558%
вам,415,0.23812%
нет,398,0.22837%
очень,387,0.22206%
вас,382,0.21919%
себя,379,0.21746%
ли,375,0.21517%
опять,372,0.21345%
если,366,0.21001%
него,365,0.20943%
нибудь,364,0.20886%
тут,356,0.20427%
может,355,0.20369%
когда,339,0.19451%
есть,315,0.18074%
сам,309,0.17730%
ни,299,0.17156%
была,298,0.17099%
тоже,294,0.16869%
потому,293,0.16812%
чем,291,0.16697%
они,276,0.15836%
раз,274,0.15722%
во,270,0.15492%
ей,270,0.15492%
соня,268,0.15377%
ничего,265,0.15205%
или,263,0.15091%
того,262,0.15033%
совсем,258,0.14804%
человек,257,0.14746%
тогда,256,0.14689%
их,256,0.14689%
для,250,0.14345%
разумихин,244,0.14000%
чего,237,0.13599%
чтобы,233,0.13369%
надо,224,0.12853%
этот,221,0.12681%
будто,214,0.12279%
там,212,0.12164%
где,210,0.12050%
со,210,0.12050%
ней,209,0.11992%
дело,209,0.11992%
петрович,209,0.11992%
этом,207,0.11877%
мы,207,0.11877%
время,207,0.11877%
тебе,206,0.11820%
почти,204,0.11705%
впрочем,201,0.11533%
один,192,0.11017%
тем,190,0.10902%
про,188,0.10787%
себе,186,0.10672%
тотчас,186,0.10672%
хоть,181,0.10386%
